Date,Salesrep key,Product key,Customer key,Location key,Units sold
01/01/2016,13,33,16,16,11
01/01/2016,17,30,41,13,16
01/01/2016,42,73,34,7,18
01/01/2016,66,47,20,18,14
01/01/2016,75,62,23,8,16
01/01/2016,4,50,30,11,18
01/01/2016,53,33,48,19,14
01/01/2016,7,2,6,2,18
01/01/2016,3,84,49,24,14
01/01/2016,9,44,39,6,13
01/01/2016,44,62,41,22,16
01/01/2016,71,64,42,24,18
01/01/2016,21,11,37,3,17
01/01/2016,13,76,41,9,18
01/01/2016,5,43,17,20,18
01/01/2016,74,37,40,22,16
01/01/2016,51,30,45,22,11
01/01/2016,59,41,27,1,11
01/01/2016,29,49,26,1,18
01/01/2016,50,38,5,10,10
01/01/2016,74,25,54,13,16
01/01/2016,37,70,37,20,17
01/01/2016,74,76,43,17,16
01/01/2016,27,7,41,1,10
01/01/2016,25,22,38,20,12
01/01/2016,50,38,25,16,12
01/01/2016,40,75,41,18,11
01/01/2016,22,50,27,8,16
01/01/2016,27,10,53,14,12
01/01/2016,35,83,21,20,13
01/01/2016,69,20,43,20,11
01/01/2016,69,61,15,19,12
01/01/2016,41,21,58,17,14
01/01/2016,54,41,26,10,12
01/01/2016,22,5,60,2,11
01/01/2016,65,48,43,7,12
01/01/2016,71,44,41,3,10
01/01/2016,83,68,48,19,12
01/01/2016,81,75,58,3,18
01/01/2016,78,29,13,15,10
01/01/2016,65,9,15,1,15
01/01/2016,76,28,4,24,12
01/01/2016,2,77,16,8,17
01/01/2016,59,38,59,11,18
01/01/2016,53,31,33,15,11
01/01/2016,31,1,7,16,13
01/01/2016,44,4,2,1,12
01/01/2016,21,11,21,14,18
01/01/2016,68,37,12,11,18
01/01/2016,38,43,13,3,11
01/01/2016,45,78,6,9,17
01/01/2016,19,15,32,20,12
01/01/2016,85,54,41,12,14
01/01/2016,36,47,32,26,14
01/01/2016,18,78,15,12,11
01/01/2016,23,15,3,15,12
01/01/2016,11,62,49,6,16
01/01/2016,22,3,38,18,10
01/01/2016,15,48,40,26,17
01/01/2016,30,2,11,18,12
01/01/2016,52,20,7,17,12
01/01/2016,70,64,43,19,17
01/01/2016,15,14,13,26,12
01/01/2016,70,54,52,11,16
01/01/2016,58,26,47,22,11
01/01/2016,67,59,56,14,15
01/01/2016,42,74,7,25,10
01/01/2016,22,83,49,20,15
01/01/2016,19,21,12,20,16
01/01/2016,83,9,22,6,11
01/01/2016,83,87,12,19,13
01/01/2016,35,84,37,22,15
01/01/2016,79,29,10,18,10
01/01/2016,64,10,27,8,15
01/01/2016,71,43,36,16,14
01/01/2016,59,50,16,21,13
01/01/2016,20,87,7,11,17
01/01/2016,13,62,1,20,14
01/01/2016,14,62,42,8,17
01/01/2016,75,22,51,19,13
01/01/2016,51,62,34,26,16
01/01/2016,65,4,52,3,15
01/01/2016,48,14,27,19,13
01/01/2016,82,44,54,3,13
01/01/2016,77,84,6,4,18
01/01/2016,20,84,54,7,10
01/01/2016,57,33,53,2,16
01/01/2016,71,19,50,15,14
01/01/2016,41,70,59,9,12
01/01/2016,70,3,32,19,11
01/01/2016,68,72,39,9,11
01/01/2016,67,18,32,1,11
01/01/2016,78,34,55,3,11
01/01/2016,55,38,3,12,15
01/01/2016,72,54,54,25,16
01/01/2016,65,50,29,15,15
01/01/2016,59,68,40,21,11
01/01/2016,8,33,7,10,11
01/01/2016,81,7,1,10,15
01/01/2016,27,36,26,10,13
01/01/2016,76,81,26,11,17
01/01/2016,62,9,11,22,11
01/01/2016,31,14,17,3,11
01/01/2016,80,32,52,3,11
01/01/2016,30,16,46,2,13
01/01/2016,74,47,10,22,10
01/01/2016,71,24,42,9,13
01/01/2016,51,72,40,8,18
01/01/2016,74,81,43,5,13
01/01/2016,71,74,11,24,11
01/01/2016,81,4,46,10,11
01/01/2016,12,17,27,7,16
01/01/2016,33,49,42,25,15
01/01/2016,48,25,54,6,12
01/01/2016,39,71,6,18,15
01/01/2016,46,22,2,3,14
01/01/2016,19,60,52,15,18
01/01/2016,7,87,31,24,11
01/01/2016,23,61,40,10,16
01/01/2016,51,42,45,24,15
01/01/2016,80,17,49,23,16
01/01/2016,52,77,21,2,17
01/01/2016,47,34,51,10,13
01/01/2016,31,44,29,22,15
01/01/2016,83,8,39,16,12
01/01/2016,9,59,19,5,22
01/01/2016,28,83,42,24,19
01/01/2016,65,2,18,26,18
01/01/2016,36,10,21,4,24
01/01/2016,67,24,36,21,17
01/01/2016,85,71,53,3,23
01/01/2016,38,78,60,20,16
01/01/2016,83,2,58,2,16
01/01/2016,59,66,50,6,17
01/01/2016,76,68,15,3,20
01/01/2016,3,35,7,6,24
01/01/2016,58,29,55,11,16
01/01/2016,68,66,42,7,21
01/01/2016,26,20,9,15,25
01/01/2016,11,72,43,9,21
01/01/2016,25,34,12,15,22
01/01/2016,32,62,32,7,18
01/01/2016,16,73,55,10,17
01/01/2016,76,28,8,11,17
01/01/2016,65,51,25,8,16
01/01/2016,60,1,26,3,21
01/01/2016,1,74,54,7,15
01/01/2016,80,25,55,3,19
01/01/2016,15,21,10,17,20
01/01/2016,56,61,12,1,22
01/01/2016,40,24,30,8,17
01/01/2016,78,43,57,23,18
01/01/2016,58,50,19,7,20
01/01/2016,52,26,33,6,25
01/01/2016,20,4,18,9,19
01/01/2016,26,6,52,18,22
01/01/2016,27,45,37,1,21
01/01/2016,45,20,25,3,18
01/01/2016,65,66,28,26,20
01/01/2016,81,2,43,10,21
01/01/2016,7,72,49,2,25
01/01/2016,73,9,21,8,21
01/01/2016,23,16,51,19,15
01/01/2016,23,1,23,5,22
01/01/2016,63,74,17,23,20
01/01/2016,26,84,31,22,16
01/01/2016,56,50,14,17,20
01/01/2016,84,82,30,7,22
01/01/2016,7,36,13,1,20
01/01/2016,84,81,43,15,20
01/01/2016,8,6,12,23,25
01/01/2016,29,66,17,13,20
01/01/2016,64,10,57,7,18
01/01/2016,11,82,31,2,17
01/01/2016,28,26,51,1,23
01/01/2016,42,17,27,24,17
01/01/2016,45,52,55,9,25
01/01/2016,33,81,30,23,20
01/01/2016,1,3,1,15,18
01/01/2016,33,33,56,1,23
01/01/2016,22,43,34,15,17
01/01/2016,40,34,40,24,19
01/01/2016,81,73,24,10,23
01/01/2016,48,73,12,7,18
01/01/2016,69,4,33,11,22
01/01/2016,2,43,19,15,23
01/01/2016,31,48,36,9,18
01/01/2016,16,5,1,22,22
01/01/2016,25,57,40,12,18
01/01/2016,7,70,37,12,25
01/01/2016,62,75,51,8,24
01/01/2016,50,56,39,14,16
01/01/2016,43,6,33,10,20
01/01/2016,12,11,3,10,23
01/01/2016,36,35,42,25,18
01/01/2016,48,46,31,21,23
01/01/2016,52,59,20,4,26
01/01/2016,62,3,15,18,21
01/01/2016,3,24,18,9,20
01/01/2016,65,38,6,25,24
01/01/2016,3,21,7,4,25
01/01/2016,22,13,1,12,19
01/01/2016,43,79,54,4,25
01/01/2016,59,3,45,13,18
01/01/2016,39,21,5,11,17
01/01/2016,25,38,40,10,23
01/01/2016,10,10,58,3,23
01/01/2016,82,45,19,17,22
01/01/2016,83,42,44,16,24
01/01/2016,34,86,29,11,15
01/01/2016,37,23,8,18,23
01/01/2016,51,26,6,16,20
01/01/2016,54,41,40,6,18
01/01/2016,7,31,4,1,17
01/01/2016,71,66,30,21,20
01/01/2016,8,35,30,20,24
01/01/2016,62,56,48,4,21
01/01/2016,30,55,35,13,22
01/01/2016,54,23,18,11,24
01/01/2016,50,73,55,12,19
01/01/2016,10,45,57,14,16
01/01/2016,62,49,45,8,22
01/01/2016,21,33,48,4,16
01/01/2016,68,35,16,10,16
01/01/2016,81,2,8,6,20
01/01/2016,74,26,37,2,23
01/01/2016,77,3,43,6,19
01/01/2016,60,15,25,18,22
01/01/2016,14,1,48,25,20
01/01/2016,39,19,37,11,18
01/01/2016,67,67,46,24,23
01/01/2016,51,88,52,8,22
01/01/2016,62,31,30,22,24
01/01/2016,66,65,59,10,16
01/01/2016,6,50,48,25,16
01/01/2016,62,78,22,7,19
01/01/2016,4,15,45,8,21
01/01/2016,7,75,40,4,18
01/01/2016,27,59,44,7,21
01/01/2016,58,51,56,11,16
01/01/2016,53,76,27,8,24
01/01/2016,14,48,3,9,19
01/01/2016,35,23,24,26,21
01/01/2016,26,57,51,18,24
01/01/2016,85,60,44,4,18
01/01/2016,54,75,51,17,22
01/01/2016,51,66,7,7,22
01/01/2016,42,4,21,16,21
01/01/2016,77,34,27,4,20
01/01/2016,45,23,57,8,19
01/01/2016,30,5,32,1,20
01/01/2016,60,72,18,13,20
01/01/2016,68,29,18,5,17
01/01/2016,11,28,6,5,18
01/01/2016,56,56,41,12,19
01/01/2016,80,48,16,8,17
01/01/2016,56,19,9,24,23
01/01/2016,15,3,21,13,24
01/01/2016,34,61,3,7,20
01/01/2016,2,75,30,6,18
01/01/2016,72,51,56,20,24
01/01/2016,16,62,27,10,23
01/01/2016,83,88,23,5,21
01/01/2016,57,64,11,3,21
01/01/2016,57,82,34,2,23
01/01/2016,31,32,37,3,23
01/01/2016,49,79,31,3,25
01/01/2016,10,47,19,25,23
01/01/2016,43,19,43,20,21
01/01/2016,56,54,28,7,21
01/01/2016,55,33,37,9,18
01/01/2016,13,61,58,7,17
01/01/2016,57,82,33,25,20
01/01/2016,21,79,35,25,25
01/01/2016,43,25,36,25,17
01/01/2016,36,15,2,15,23
01/01/2016,6,58,20,14,21
01/01/2016,33,20,60,15,18
01/01/2016,29,59,21,1,23
01/01/2016,43,42,59,2,21
01/01/2016,44,45,27,17,24
01/01/2016,5,24,4,2,20
01/01/2016,13,71,50,25,19
01/01/2016,26,53,20,10,17
01/01/2016,54,73,45,13,20
01/01/2016,69,70,44,18,17
01/01/2016,32,60,15,20,21
01/01/2016,49,41,13,23,21
01/01/2016,38,55,22,15,20
01/01/2016,58,83,8,26,18
01/01/2016,2,39,45,19,23
01/01/2016,6,56,31,10,16
01/01/2016,15,85,9,11,21
02/01/2016,64,9,19,25,13
02/01/2016,18,31,57,8,17
02/01/2016,35,24,54,18,17
02/01/2016,36,66,56,16,10
02/01/2016,12,38,7,21,13
02/01/2016,38,79,4,1,15
02/01/2016,84,85,33,1,17
02/01/2016,23,78,23,16,13
02/01/2016,54,11,25,16,18
02/01/2016,34,40,34,8,10
02/01/2016,17,64,48,11,16
02/01/2016,73,17,14,23,14
02/01/2016,32,33,32,4,16
02/01/2016,21,35,26,24,17
02/01/2016,48,78,5,23,18
02/01/2016,31,31,4,22,12
02/01/2016,51,87,9,4,11
02/01/2016,81,68,48,11,16
02/01/2016,43,54,28,3,15
02/01/2016,80,70,3,9,10
02/01/2016,23,57,55,21,18
02/01/2016,69,83,54,19,14
02/01/2016,60,13,18,4,11
02/01/2016,40,29,46,13,15
02/01/2016,26,14,44,24,14
02/01/2016,24,63,20,13,11
02/01/2016,82,17,25,24,13
02/01/2016,65,18,22,14,18
02/01/2016,3,52,56,19,18
02/01/2016,80,75,9,24,12
02/01/2016,73,27,42,22,11
02/01/2016,67,29,51,5,17
02/01/2016,55,25,57,5,10
02/01/2016,25,3,30,14,15
02/01/2016,31,84,50,1,13
02/01/2016,4,37,27,15,17
02/01/2016,77,1,38,17,10
02/01/2016,25,71,49,11,12
02/01/2016,59,59,42,3,11
02/01/2016,3,51,49,2,17
02/01/2016,83,50,13,12,18
02/01/2016,24,43,3,19,11
02/01/2016,36,61,58,15,15
02/01/2016,30,68,51,11,11
02/01/2016,39,76,32,21,13
02/01/2016,53,50,20,13,10
02/01/2016,2,5,49,13,17
02/01/2016,14,79,58,15,15
02/01/2016,62,40,27,21,14
02/01/2016,31,17,12,7,11
02/01/2016,33,74,34,8,18
02/01/2016,3,72,30,25,18
02/01/2016,50,10,48,11,15
02/01/2016,45,25,3,24,14
02/01/2016,29,58,17,21,14
02/01/2016,48,28,25,15,14
02/01/2016,7,25,5,1,13
02/01/2016,34,2,32,23,18
02/01/2016,63,30,35,24,15
02/01/2016,79,58,42,12,17
02/01/2016,35,4,58,5,11
02/01/2016,2,72,26,15,14
02/01/2016,63,32,47,16,16
02/01/2016,66,53,58,8,17
02/01/2016,25,54,29,7,11
02/01/2016,55,69,50,11,15
02/01/2016,58,47,10,25,14
02/01/2016,3,57,15,23,18
02/01/2016,82,69,13,6,18
02/01/2016,48,28,41,22,13
02/01/2016,36,72,39,12,18
02/01/2016,63,51,34,3,17
02/01/2016,32,23,32,22,17
02/01/2016,26,8,22,15,17
02/01/2016,2,88,33,6,11
02/01/2016,49,57,43,26,13
02/01/2016,4,24,13,3,17
02/01/2016,60,83,8,5,15
02/01/2016,8,84,59,7,18
02/01/2016,4,46,5,13,17
02/01/2016,15,26,6,25,17
02/01/2016,34,41,16,12,13
02/01/2016,52,56,9,25,11
02/01/2016,54,53,6,25,12
02/01/2016,75,36,34,23,13
02/01/2016,82,62,36,23,16
02/01/2016,21,31,21,24,10
02/01/2016,14,38,32,6,13
02/01/2016,19,32,52,14,15
02/01/2016,84,17,24,1,16
02/01/2016,50,42,29,11,18
02/01/2016,64,79,52,3,13
02/01/2016,35,34,11,20,13
02/01/2016,75,6,48,12,10
02/01/2016,60,70,25,16,11
02/01/2016,71,85,43,5,14
02/01/2016,58,64,26,7,17
02/01/2016,75,56,16,21,15
02/01/2016,45,73,21,18,12
02/01/2016,25,42,13,7,14
02/01/2016,74,75,34,20,11
02/01/2016,7,2,18,16,13
02/01/2016,58,8,45,8,14
02/01/2016,37,51,17,11,15
02/01/2016,6,37,1,24,12
02/01/2016,83,82,59,2,12
02/01/2016,41,14,29,20,15
02/01/2016,22,37,14,9,11
02/01/2016,42,29,8,26,17
02/01/2016,24,2,17,7,12
02/01/2016,28,36,48,5,17
02/01/2016,51,88,17,16,14
02/01/2016,5,47,39,26,15
02/01/2016,23,71,3,15,13
02/01/2016,9,2,4,14,16
02/01/2016,36,50,33,1,13
02/01/2016,15,53,1,15,10
02/01/2016,15,60,49,12,18
02/01/2016,57,77,18,4,13
02/01/2016,31,34,22,16,10
02/01/2016,20,79,52,23,14
02/01/2016,31,34,42,25,10
02/01/2016,49,10,24,10,12
02/01/2016,10,78,11,6,16
02/01/2016,68,43,33,11,14
02/01/2016,32,70,6,22,14
02/01/2016,31,61,38,20,16
02/01/2016,63,20,1,17,11
02/01/2016,3,56,6,26,18
02/01/2016,14,31,29,24,17
02/01/2016,59,13,51,26,15
02/01/2016,23,53,9,17,12
02/01/2016,16,14,29,11,11
02/01/2016,70,49,36,3,10
02/01/2016,28,24,23,16,15
02/01/2016,50,3,30,25,12
02/01/2016,3,19,2,4,10
02/01/2016,82,8,14,4,17
02/01/2016,84,84,41,25,10
02/01/2016,3,79,11,15,16
02/01/2016,38,22,25,12,15
02/01/2016,37,69,42,14,16
02/01/2016,65,42,19,19,15
02/01/2016,48,46,25,19,18
02/01/2016,51,70,53,4,13
02/01/2016,82,14,5,24,10
02/01/2016,63,32,4,5,15
02/01/2016,84,52,31,4,16
02/01/2016,74,21,3,12,16
02/01/2016,26,15,58,14,12
02/01/2016,2,65,15,16,14
02/01/2016,83,41,49,9,17
02/01/2016,59,21,27,16,15
02/01/2016,39,79,47,25,11
02/01/2016,71,49,60,10,17
02/01/2016,85,76,1,24,17
02/01/2016,5,31,6,1,14
02/01/2016,70,65,41,20,14
02/01/2016,69,21,19,17,15
02/01/2016,45,6,34,23,14
02/01/2016,54,88,16,3,18
02/01/2016,67,62,33,7,16
02/01/2016,75,35,37,10,11
02/01/2016,24,87,5,10,13
02/01/2016,51,36,13,1,15
02/01/2016,27,45,23,8,18
02/01/2016,8,38,48,13,17
02/01/2016,45,82,54,26,18
02/01/2016,63,54,51,25,15
02/01/2016,54,74,39,23,11
02/01/2016,21,8,36,6,12
02/01/2016,41,69,36,15,15
02/01/2016,7,9,52,18,17
02/01/2016,29,74,7,24,10
02/01/2016,42,31,33,20,10
02/01/2016,33,34,30,16,10
02/01/2016,48,52,55,16,11
02/01/2016,45,87,50,20,11
02/01/2016,44,80,26,7,10
02/01/2016,56,85,49,3,16
02/01/2016,25,43,11,9,12
02/01/2016,27,87,38,23,16
02/01/2016,71,8,57,17,17
02/01/2016,79,11,36,5,14
02/01/2016,19,38,10,21,11
02/01/2016,10,45,7,4,22
02/01/2016,32,10,42,14,19
02/01/2016,76,32,47,21,23
02/01/2016,73,57,35,7,26
02/01/2016,80,25,29,22,21
02/01/2016,49,2,33,18,17
02/01/2016,66,64,41,16,20
02/01/2016,9,77,40,26,24
02/01/2016,32,87,13,25,15
02/01/2016,35,67,56,25,22
02/01/2016,85,7,56,26,22
02/01/2016,19,63,34,20,16
02/01/2016,77,76,20,11,25
02/01/2016,15,28,1,25,18
02/01/2016,40,68,33,7,24
02/01/2016,40,15,59,16,23
02/01/2016,2,85,8,6,20
02/01/2016,22,38,16,15,21
02/01/2016,3,5,12,10,22
02/01/2016,20,53,9,25,22
02/01/2016,17,35,19,16,19
02/01/2016,81,34,8,1,17
02/01/2016,65,87,55,21,21
02/01/2016,38,16,3,19,19
02/01/2016,36,33,45,15,23
02/01/2016,49,42,44,13,23
02/01/2016,75,14,43,10,16
02/01/2016,17,56,25,25,19
02/01/2016,2,53,18,24,23
02/01/2016,12,76,56,17,26
02/01/2016,46,37,8,9,20
02/01/2016,26,45,40,3,21
02/01/2016,18,58,19,5,20
02/01/2016,61,58,38,26,25
02/01/2016,3,37,45,6,18
02/01/2016,12,15,22,14,17
02/01/2016,10,33,7,23,23
02/01/2016,31,8,25,4,16
02/01/2016,41,57,22,21,24
02/01/2016,34,49,57,19,15
02/01/2016,54,77,30,18,25
02/01/2016,69,13,29,5,20
02/01/2016,81,24,8,17,19
02/01/2016,42,75,53,22,15
02/01/2016,9,28,41,20,23
02/01/2016,31,61,59,11,23
02/01/2016,69,8,58,20,23
02/01/2016,59,34,12,16,18
02/01/2016,80,18,25,2,21
02/01/2016,80,27,22,4,24
02/01/2016,58,5,32,16,24
02/01/2016,3,84,13,11,15
02/01/2016,85,73,49,15,21
02/01/2016,49,44,2,20,24
02/01/2016,6,77,19,18,20
02/01/2016,51,74,38,4,19
02/01/2016,50,15,57,5,24
02/01/2016,58,68,14,5,20
02/01/2016,12,84,30,18,19
02/01/2016,45,56,27,18,23
02/01/2016,29,38,57,13,25
02/01/2016,15,87,51,19,21
02/01/2016,76,66,10,7,22
02/01/2016,23,42,56,24,20
02/01/2016,46,3,47,12,18
02/01/2016,74,71,46,21,22
02/01/2016,61,71,24,22,22
02/01/2016,69,14,8,4,22
02/01/2016,73,73,47,23,24
02/01/2016,30,10,31,11,18
02/01/2016,80,58,32,20,22
02/01/2016,47,30,30,20,24
02/01/2016,17,70,2,2,18
02/01/2016,55,82,15,2,21
02/01/2016,55,12,45,21,24
02/01/2016,55,76,25,9,17
02/01/2016,28,49,3,24,22
02/01/2016,66,53,57,20,17
02/01/2016,75,25,9,20,21
02/01/2016,74,42,11,25,17
02/01/2016,14,58,6,6,24
02/01/2016,5,10,53,26,24
02/01/2016,14,82,32,8,18
02/01/2016,67,74,56,5,19
02/01/2016,21,8,17,7,23
02/01/2016,57,87,58,20,16
02/01/2016,8,16,46,16,21
02/01/2016,19,64,23,7,17
02/01/2016,82,26,21,12,23
02/01/2016,81,87,10,3,16
02/01/2016,30,34,23,17,17
02/01/2016,1,61,33,17,17
02/01/2016,85,59,17,25,20
02/01/2016,53,69,49,21,24
02/01/2016,16,57,58,2,24
02/01/2016,17,50,2,19,22
02/01/2016,74,29,36,7,16
02/01/2016,38,22,21,1,18
02/01/2016,61,66,12,13,18
02/01/2016,41,69,4,19,23
02/01/2016,48,79,39,11,21
02/01/2016,68,35,51,3,18
02/01/2016,69,7,6,1,23
02/01/2016,64,51,39,6,26
02/01/2016,64,84,20,15,22
02/01/2016,58,29,6,20,20
02/01/2016,44,87,11,18,26
02/01/2016,78,82,22,21,16
02/01/2016,6,18,49,7,20
02/01/2016,36,20,2,3,19
02/01/2016,44,27,57,13,19
02/01/2016,31,29,59,8,21
02/01/2016,77,77,42,22,20
02/01/2016,82,56,2,7,23
02/01/2016,40,4,18,5,22
02/01/2016,61,4,24,5,23
02/01/2016,11,66,35,6,20
02/01/2016,80,42,50,1,20
02/01/2016,54,66,24,20,21
02/01/2016,49,55,24,14,19
02/01/2016,83,70,54,22,18
02/01/2016,14,44,58,25,17
02/01/2016,20,36,28,19,21
02/01/2016,45,29,8,7,19
02/01/2016,66,43,26,3,22
02/01/2016,32,45,60,2,16
02/01/2016,39,7,30,23,18
02/01/2016,23,8,60,8,17
02/01/2016,77,48,5,18,22
02/01/2016,24,36,20,1,15
02/01/2016,10,87,60,17,23
02/01/2016,82,45,46,17,24
02/01/2016,72,74,31,15,23
02/01/2016,38,32,60,23,18
02/01/2016,9,21,44,12,17
02/01/2016,38,70,34,1,22
02/01/2016,71,4,25,20,15
02/01/2016,4,85,47,16,25
02/01/2016,6,87,13,8,25
02/01/2016,56,27,1,5,21
02/01/2016,57,44,7,26,20
02/01/2016,36,46,49,10,20
02/01/2016,51,52,27,17,21
02/01/2016,47,79,44,9,22
02/01/2016,4,34,36,24,20
02/01/2016,67,47,57,8,25
02/01/2016,7,25,46,23,15
02/01/2016,42,67,13,22,20
02/01/2016,43,35,5,14,20
02/01/2016,17,60,22,17,23
02/01/2016,25,37,60,19,26
02/01/2016,40,41,40,9,18
02/01/2016,52,51,30,15,19
02/01/2016,3,61,14,11,25
02/01/2016,55,52,5,9,17
02/01/2016,1,9,14,10,21
02/01/2016,66,17,40,14,21
02/01/2016,68,42,23,17,23
02/01/2016,63,27,15,7,18
02/01/2016,27,7,52,25,25
02/01/2016,65,56,57,18,25
02/01/2016,44,49,28,11,19
02/01/2016,18,23,49,16,22
02/01/2016,9,80,14,21,18
02/01/2016,26,39,50,11,21
02/01/2016,57,23,28,25,22
02/01/2016,13,83,6,24,19
02/01/2016,84,34,54,20,19
02/01/2016,38,13,47,6,24
02/01/2016,7,37,56,1,20
02/01/2016,12,23,32,21,20
02/01/2016,64,43,58,17,22
02/01/2016,34,40,38,20,15
02/01/2016,3,79,8,22,20
02/01/2016,45,49,37,18,21
02/01/2016,36,61,37,6,23
02/01/2016,4,27,48,9,16
02/01/2016,3,76,13,25,23
02/01/2016,81,3,17,1,22
02/01/2016,75,83,10,7,15
02/01/2016,80,2,23,1,17
02/01/2016,49,63,31,12,21
02/01/2016,34,56,45,25,18
02/01/2016,30,63,34,6,18
02/01/2016,70,10,36,2,20
02/01/2016,2,43,53,10,24
02/01/2016,77,76,27,5,18
02/01/2016,21,42,45,20,17
02/01/2016,18,79,12,3,21
02/01/2016,76,63,37,10,17
02/01/2016,61,4,38,1,24
02/01/2016,12,42,10,15,22
02/01/2016,63,11,37,16,21
02/01/2016,58,33,8,16,21
03/01/2016,81,2,53,4,14
03/01/2016,83,87,35,10,18
03/01/2016,62,82,18,1,12
03/01/2016,18,30,6,23,10
03/01/2016,36,44,52,17,16
03/01/2016,79,78,38,7,15
03/01/2016,33,56,31,11,15
03/01/2016,79,80,31,24,11
03/01/2016,80,55,43,3,17
03/01/2016,12,5,40,2,14
03/01/2016,6,69,20,8,11
03/01/2016,59,70,37,24,15
03/01/2016,85,57,32,7,10
03/01/2016,24,7,51,13,16
03/01/2016,65,43,43,14,16
03/01/2016,54,6,32,3,12
03/01/2016,6,28,4,17,13
03/01/2016,31,53,26,7,10
03/01/2016,34,37,31,26,18
03/01/2016,63,72,22,14,13
03/01/2016,68,76,5,18,17
03/01/2016,18,62,54,18,14
03/01/2016,47,32,23,16,13
03/01/2016,52,25,28,18,16
03/01/2016,51,45,34,24,10
03/01/2016,50,46,50,11,13
03/01/2016,27,43,41,9,15
03/01/2016,22,68,40,6,12
03/01/2016,56,76,24,17,15
03/01/2016,50,5,59,20,17
03/01/2016,61,38,44,6,17
03/01/2016,72,84,47,22,15
03/01/2016,74,44,37,8,18
03/01/2016,54,70,6,13,16
03/01/2016,23,66,8,2,17
03/01/2016,8,1,28,24,13
03/01/2016,78,52,39,3,12
03/01/2016,66,51,17,5,12
03/01/2016,35,28,32,12,16
03/01/2016,8,79,47,9,17
03/01/2016,41,43,51,13,14
03/01/2016,15,5,9,20,14
03/01/2016,17,12,40,9,16
03/01/2016,72,31,27,21,10
03/01/2016,65,43,52,11,13
03/01/2016,69,44,15,15,13
03/01/2016,54,45,42,25,14
03/01/2016,1,40,12,3,15
03/01/2016,19,50,42,2,10
03/01/2016,20,41,53,21,16
03/01/2016,51,57,8,18,15
03/01/2016,5,32,14,19,12
03/01/2016,24,34,17,15,13
03/01/2016,57,88,20,23,14
03/01/2016,20,24,50,13,11
03/01/2016,78,59,16,18,18
03/01/2016,34,25,32,4,13
03/01/2016,45,18,43,19,12
03/01/2016,66,74,60,13,16
03/01/2016,65,28,49,11,17
03/01/2016,81,52,2,13,14
03/01/2016,21,49,60,24,11
03/01/2016,22,83,47,16,17
03/01/2016,3,17,39,25,13
03/01/2016,39,39,45,9,14
03/01/2016,49,64,55,15,18
03/01/2016,38,35,41,13,16
03/01/2016,37,19,52,25,18
03/01/2016,3,32,38,12,13
03/01/2016,18,65,8,25,17
03/01/2016,12,63,55,23,13
03/01/2016,79,37,59,4,17
03/01/2016,77,7,7,4,17
